walker	beta0	tau_sq_0	ell0	beta1	tau_sq_1	ell1	beta2	tau_sq_2	ell2	beta3	tau_sq_3	ell3	beta4	tau_sq_4	ell4	beta5	tau_sq_5	ell5	beta6	tau_sq_6	ell6	beta7	tau_sq_7	ell7	beta8	tau_sq_8	ell8	beta9	tau_sq_9	ell9	beta10	tau_sq_10	ell10	beta11	tau_sq_11	ell11	beta12	tau_sq_12	ell12	beta13	tau_sq_13	ell13	beta14	tau_sq_14	ell14	beta15	tau_sq_15	ell15	beta16	tau_sq_16	ell16	beta17	tau_sq_17	ell17	beta18	tau_sq_18	ell18	beta19	tau_sq_19	ell19	beta20	tau_sq_20	ell20	beta21	tau_sq_21	ell21	beta22	tau_sq_22	ell22	beta23	tau_sq_23	ell23	beta24	tau_sq_24	ell24	beta25	tau_sq_25	ell25	beta26	tau_sq_26	ell26	beta27	tau_sq_27	ell27	beta28	tau_sq_28	ell28	beta29	tau_sq_29	ell29	sigma_noise	sigma_gp	lambda	log_l	log_p

111	-8.783151264e+02	3.250970788e-02	4.233706427e+01	2.152146083e+02	4.661773107e+00	1.372395043e+00	-5.408181137e+02	7.236935653e-02	3.952497078e-02	-4.949189886e+02	6.354608011e+01	4.988224469e+00	1.262463005e+02	1.396647750e-05	5.069577252e+01	-4.484877175e+02	9.667695868e-06	2.694241593e-01	3.155060758e+02	4.511150386e-05	5.604191748e-02	6.997417645e+01	7.059725719e-02	1.380189626e-03	2.875532210e+02	6.150915217e-06	1.368942228e+01	8.825763682e+00	7.533425083e-02	7.860755259e+01	8.115911950e+02	9.234349262e-04	7.006179870e+01	-4.947569206e+02	7.032678183e-03	1.005842598e-01	-8.070179935e+02	6.919212290e-04	8.768265551e+01	-9.676313655e+02	9.051122437e-01	9.079745168e-02	-6.069443400e+02	1.841369529e+01	1.624229381e+00	-1.457303720e+02	1.462725011e-01	4.678241049e+01	9.064967434e+02	4.014890045e-02	9.130007664e-03	-8.323880864e+02	7.083658786e-04	5.452090804e-01	-8.732298725e+02	3.906933027e+00	1.903621232e+01	8.533465767e+02	7.013130223e-04	6.549574639e+01	4.724074616e+02	3.545476388e-03	3.094355675e+00	8.648291383e+02	1.631931216e+00	2.243571642e+00	-5.049101117e+02	9.233877423e-03	9.980924741e-02	-3.547980052e+02	7.360394894e-02	3.492706886e+01	-4.546819697e+02	4.656364769e-01	3.345840113e-03	-1.079247683e+02	1.914262026e-01	2.210391973e+00	-5.781476695e+02	1.519112037e+01	3.689375071e+01	6.639387273e+02	4.030854271e-05	6.512215861e-02	-4.265831605e+02	6.713538541e-06	9.452081628e+00	-2.518030157e+02	7.037765147e+01	1.484299117e-03	2.703823400e-05	4.560763752e-04	2.475040302e-02	-5.583093299e+19	-2.675671449e+02

112	9.184896277e+01	6.803605603e-01	1.445116941e-01	-2.851661387e+02	1.742753995e-01	2.780814113e-01	4.338717868e+01	1.213254810e-03	8.624967725e-01	2.282484548e+02	1.060194486e-02	3.420771163e+01	-4.322663948e+02	9.941351164e-06	1.477668914e+01	7.024702454e+02	3.077582477e-03	7.584811627e-01	5.500337468e+02	1.298972617e+00	2.806232339e+01	-7.351036264e+02	2.857993359e-01	9.365257562e+01	7.173832629e+02	1.194785535e-03	4.628526117e+00	-9.819448565e+02	3.846607663e+00	3.507302336e+00	-1.023544721e+01	9.346910808e-04	7.927256644e+00	-2.920469746e+02	2.367083268e-03	2.210094763e+00	-5.713605907e+02	1.625349580e-01	7.281127614e-03	-5.599493103e+02	1.402551456e+00	8.014884035e-02	-2.131446174e+02	1.754307465e-06	1.282339362e+01	-8.719534036e+02	4.157042713e-01	1.032245432e-03	-6.472586503e+02	5.231022454e+00	1.325637196e-02	-8.019107870e+02	2.416536152e-01	3.202731985e-02	5.421428762e+02	9.059271821e-03	2.961161217e-02	4.369042617e+02	1.408224163e+01	8.094853349e-01	-1.880390959e+02	8.518006597e+01	1.668382729e-03	5.815597535e+02	2.166994334e-04	1.339237387e-03	-5.413317631e+02	3.773279019e-02	2.059151801e+00	-3.420700795e+01	4.451008618e+00	2.173166893e-01	2.139761261e+02	1.016959168e-06	3.940578219e-03	-4.085989611e+02	8.070592994e-03	3.455000656e+01	4.311515530e+02	2.421863446e-01	1.320308775e-03	1.885195102e+02	1.577067555e+01	1.252773437e+01	1.760263288e+02	3.593096456e+00	5.104435450e-01	5.362934405e+02	1.400540528e-05	5.573767439e-01	3.722739009e-03	1.455462588e-06	1.804242793e-02	-4.083547631e+15	-2.449337349e+02

113	-7.532386880e+02	1.856973642e-02	8.423251473e+00	6.458331113e+02	5.109290125e-01	1.879980984e+00	-3.387633218e+02	2.956977459e-03	4.421183259e+01	4.847654680e+02	8.404739958e+00	6.404399756e+00	-7.625773258e+01	3.734907123e-02	3.778187320e+00	-1.463215860e+02	1.588202658e-01	3.586848753e-02	1.133876090e+02	1.632413658e-02	3.324588581e-01	5.648648551e+02	2.495293696e-02	2.175127370e+00	-1.361463035e+02	5.667126258e-01	1.502385807e-01	5.572297594e+00	1.534019964e-02	2.493203535e-01	-1.341481059e+02	1.483644327e-03	1.589969669e+01	1.041880814e+02	3.961745628e-02	2.266496721e-01	1.322458181e+02	1.951975201e-05	3.531137460e+01	1.208925444e+02	3.830982997e+00	9.829281634e-02	6.715379262e+02	4.461051553e-02	3.576032818e+00	3.474307755e+02	1.447473299e+01	3.985424654e+01	-8.598800494e+02	2.656462055e-01	4.558664916e+01	7.766713039e+02	7.395171906e-01	5.939382305e+00	-2.273661339e+02	2.938213076e+01	1.041884260e+01	-6.425629340e+02	5.836452357e+00	7.288900422e+01	-1.005662564e+02	4.137450745e-02	2.961050790e+01	-2.815601746e+01	1.509008347e-01	2.575087932e+01	3.216394410e+02	1.092715313e+00	1.827341983e+01	-4.469184212e+02	6.733092578e+00	6.045068799e-02	6.594192396e+02	2.206265899e+01	1.151589453e+00	6.079156012e+01	9.209681293e+00	4.441766643e-02	9.758094493e+01	1.732769954e+01	1.663120929e+00	3.358830593e+01	4.744273066e+01	1.609050609e-01	5.265239019e+02	1.385835117e+01	1.890092424e-03	-5.371175796e+02	3.952333459e+00	5.368416566e-02	1.700877841e+00	1.092713423e-01	2.198211480e+00	-2.306426607e+08	-3.824118693e+02

114	-6.647365771e+02	3.154175344e-02	9.557670568e-02	2.190439239e+02	4.737706566e-03	5.936335029e-03	2.407192097e+02	6.086512027e-03	4.078277790e-02	-2.279312751e+02	3.978757766e-02	5.686068619e-03	-3.243320433e+00	1.391609427e-01	1.078773510e+00	-1.661259106e+02	3.970363343e-04	4.575038417e-02	6.999975272e+01	2.601057335e-02	3.934460145e-01	-8.890766372e+02	1.199523423e-05	8.656890531e-03	-2.772328735e+01	5.183083476e+00	4.999375141e-03	1.074769327e+02	5.955435857e+01	2.081735987e+01	4.934251494e+02	1.548834278e+00	4.364655503e-01	7.798491775e+02	2.715824081e-04	7.307738398e+00	-7.892369185e+02	2.446112434e-03	1.039295243e-02	-2.539179240e+01	5.935330907e-04	6.261157242e-03	5.270301973e+02	9.562910850e-02	6.169784226e-01	3.250125654e+02	4.532484975e-04	5.476161527e-03	8.822004040e+02	3.525761943e-04	2.011628485e-03	8.283844516e+02	3.750104296e-05	4.000498011e-03	-4.113312853e+02	7.365162028e-05	1.489699043e-03	-8.414271592e+02	2.550864558e-03	4.417478086e-01	-6.447231468e+02	1.217135867e-06	1.371988778e-01	-8.945216973e+02	2.679111642e-06	1.925694995e-01	-9.243078190e+02	4.447514140e+01	3.864985645e+00	5.619485831e+01	3.096071425e+00	1.318997773e-01	6.003577390e+02	1.968852801e-02	1.150054885e-03	-7.978758719e+01	1.997552067e-05	1.785545100e+01	2.222388844e+02	3.067420296e-01	5.900484521e-02	2.996686552e+02	2.752816955e-02	4.428391001e-03	1.774086046e+02	7.296316252e+01	7.143837105e-01	5.353773566e+02	5.632545601e-05	5.908388531e-01	6.924107647e-04	5.596982886e-01	8.545313293e+00	-7.693740129e+17	-1.661237656e+02

115	5.733955868e+02	8.300553637e-03	6.888229093e-03	-1.252938290e+02	1.373917080e-02	3.168524714e-01	-5.952887336e+02	1.962254248e-05	9.419826732e-02	6.475031423e+02	5.701621443e-04	3.888134842e+01	-5.361345711e+02	2.474060925e+01	5.030543792e-02	-4.191729043e+02	9.188642336e-05	4.000900333e+01	-3.415516999e+02	2.786788241e-01	6.927750670e-02	7.845035440e+02	5.213458332e-02	4.785783096e-03	-4.851906954e+02	1.107364226e-05	6.255279476e+00	-2.841410002e+02	1.049873592e-03	7.546912243e-01	4.672537739e+02	3.661810477e+01	3.364487791e-03	7.927538247e+02	8.713282023e+00	6.731264534e-03	-4.525021364e+02	1.602657964e-04	2.401269031e-03	-3.051585355e+02	1.268818089e-02	2.434509039e+01	3.422368151e+02	8.616845636e-06	3.442119967e-03	3.231561246e+02	8.643632894e+01	7.771377690e-01	-8.564489323e+02	3.126726780e-04	4.533077928e-02	-5.057094258e+02	9.224626812e+01	8.255260396e+00	-5.751816571e+02	1.872815628e-02	7.099987872e+00	2.174299168e+02	1.057859430e-02	5.984225138e-02	6.639154744e+02	5.257521298e-05	8.724332940e+00	-9.135617077e+02	8.972134962e-06	5.697095488e-01	-2.683353163e+02	1.562312594e-01	5.322865754e+00	-5.774762088e+02	6.837255606e-04	1.278213681e-01	-7.655902548e+02	1.476811305e-01	1.346567641e-03	-8.735917670e+02	3.830527545e-04	9.265498437e+01	-2.479283325e+02	6.209703695e-01	5.750788599e+00	-5.891381543e+02	5.463847995e-03	2.057309071e-02	-7.389459835e+02	1.251641506e+01	1.356055914e+01	-2.928041873e+02	3.785305549e-06	4.213882244e+01	7.618991290e-06	1.237967110e-01	4.744941228e-01	-1.634170986e+21	-2.149936902e+02

116	3.761753316e+02	5.046522057e-06	2.867019138e+00	5.729437368e+01	1.623852321e-05	1.177692754e-03	-5.448698192e+01	1.468859888e-05	2.094490495e-03	-8.965747214e+02	1.244548809e-02	3.282820437e-01	3.702518828e+02	1.429243961e-06	2.565255154e+01	7.393664472e+02	2.462429189e+00	1.913991654e-02	-7.976126892e+02	2.431505506e-04	3.004389435e+01	-2.005278526e+02	3.632599434e-04	4.849354148e-03	-2.503756049e+02	6.134876835e-04	5.402959057e-03	7.031720767e+02	1.590053659e-05	1.266762745e-01	-5.981512846e+02	2.480481257e-01	5.677859901e-03	5.774572517e+02	2.794085231e-05	4.206883592e+00	-2.776350341e+02	1.916618007e-04	1.799499307e+00	6.653815008e+02	9.047886062e-03	1.024522930e+01	5.824380169e+02	6.711997346e+00	5.756575672e-01	6.106699949e+02	7.955082971e+00	2.791868519e-03	-5.107984714e+02	2.303606028e-02	1.164744005e-02	5.328171539e+02	3.536781057e-04	1.670920061e+00	-2.350222133e+01	1.889872660e-02	1.247464985e-02	-7.768323574e+02	5.695112074e+01	1.350308719e-03	-7.585943512e+02	9.024657203e-04	2.017402074e+01	-3.457954205e+02	6.411438010e-03	3.176471735e+00	-1.594306171e+02	2.470825222e-03	1.339280747e-02	5.956761515e+02	1.050906132e-03	1.166508161e-01	-1.832979759e+02	7.804119487e+00	9.022136182e+01	2.093868315e+02	1.454446674e-04	3.064487411e-01	6.477963253e+02	7.852883310e+01	3.936704148e-01	-1.958839697e+02	3.234035069e-04	9.882610334e-03	1.374596119e+02	9.298041434e-02	3.427278366e-03	-1.301549316e+02	4.383664429e+01	2.451996153e+00	1.003406584e+00	2.494189322e-02	4.786225696e-02	-8.604595636e+10	-1.828969826e+02

117	-2.437738526e+02	1.669565286e-03	1.172198783e+00	-1.823822913e+02	1.835657921e+01	1.923399615e+01	5.634195413e+02	2.726010951e-04	1.351219214e+01	1.528756261e+02	1.902161437e-02	7.724130109e-02	4.144781446e+02	4.461216327e+00	9.768698952e-01	-3.668196079e+02	1.118097578e-02	1.645482532e+00	-2.673562074e+02	5.796685059e-06	1.936532619e+00	-1.014073145e+02	6.574463094e-02	1.987978050e+00	-4.665647014e+02	9.282412815e-01	1.337725944e-02	2.632123018e+02	4.318464755e+01	1.651848081e-03	5.303142476e+02	3.817082495e-02	4.359618488e+00	-4.386105807e+02	1.797586548e+00	1.265199323e-03	9.051714996e+01	3.422916642e+01	9.490811420e+00	-3.316221666e+02	2.441307511e+01	1.013033764e+01	-3.132145455e+01	4.288992902e-03	1.050331905e+01	-3.685736911e+02	2.995049001e-03	1.555015226e+00	-1.624061197e+02	1.797234951e-01	3.330553978e+00	-2.060019549e+02	2.268288254e-05	1.959214268e-01	8.196968965e+02	3.102591580e+00	8.294488895e-02	5.659473501e+01	1.088543148e-01	2.937843822e-01	-4.500033916e+02	6.249030376e+00	3.461702192e-02	8.799838365e+01	7.148098162e-02	4.736649508e+01	1.927088268e+02	5.948582607e-03	9.974482368e-02	-4.622523206e+02	2.100207089e-06	1.555296705e+01	1.971846627e+02	4.185483694e+01	6.294199362e-01	8.757637623e+02	2.621206263e+01	9.002963568e+00	-1.599681676e+02	1.385014797e-01	5.070826497e+00	-3.608840604e+02	3.764664325e-01	3.697229372e+01	5.096000421e+01	1.477989987e-04	1.003925839e+01	1.102792025e+02	3.375643701e-05	7.221553080e-01	1.447584067e+01	1.212428123e-03	6.783563739e-03	-2.809217391e+08	-3.053832645e+02

118	4.470260320e+02	4.299197610e-03	1.163967892e+01	-1.484721900e+02	1.036075010e-01	1.126194885e+01	-3.902263179e+02	5.032915189e+00	1.555805875e-01	7.476530565e+02	1.744546182e-05	9.977683568e-01	7.413714418e+02	1.082936395e-03	6.820441288e+01	-1.816562833e+02	1.106470762e+00	2.966261873e-01	-9.655201662e+01	5.120475001e+01	6.119674064e-01	1.085728095e+02	8.015655591e+00	2.598291627e+00	-5.667455610e+02	8.886579149e+00	1.962035557e+01	-8.089832472e+02	3.509235782e+00	1.156073404e+00	2.536276857e+02	6.920679629e-02	7.429015079e-01	3.700336813e+02	1.555305917e-01	2.270073759e-02	7.549198096e+02	2.715948740e-03	1.580241884e+00	-1.328744774e+02	9.974135753e-02	1.570089241e+01	-3.337090609e+02	6.278407170e-02	2.822018735e-01	-1.164940840e+02	9.447992352e+00	3.805191669e-01	4.704075284e+01	3.738417579e+00	9.093761421e+00	2.780214401e+02	8.571872347e+01	4.301382115e-01	3.327144734e+02	2.387894005e+01	4.138063264e-01	4.580800494e+02	2.764604470e+01	1.338027871e+01	-2.399774743e+02	4.557380127e-02	6.847829617e-03	6.351233942e+02	4.233221205e-03	1.392562101e+00	-6.840566604e+02	2.246261591e+00	5.656583931e-02	-1.701627248e+02	1.628657427e-01	2.426428282e+01	6.848290946e+02	7.726555009e-05	4.333444963e-02	3.372033743e+02	1.294727832e+00	5.209177531e-01	8.291107268e+02	3.765558721e+00	1.559095562e+00	-6.100970252e+02	1.809111611e-02	1.292470706e-02	-3.216621414e+02	3.745991617e+00	9.234739195e+00	4.109834930e+02	1.902536739e-01	1.773906068e+00	5.991526356e+00	6.304389231e+01	5.867517784e-02	-5.560960798e+08	-3.630982356e+02

119	-7.521070851e+02	1.041437178e+00	2.570752439e+01	5.732530426e+02	1.000737626e-01	2.611379781e+00	-4.775906401e+02	4.377115032e+01	4.565727889e+01	-6.893764585e+01	1.521531438e-05	5.246093963e+00	-6.208560304e+02	5.336460828e-01	3.024885403e+00	3.665585361e+02	1.180432108e-05	1.569225548e+01	-6.084990799e+02	7.780660846e+00	1.869604904e+01	1.697301238e+02	2.344558717e-03	3.995933159e-01	5.342453768e+02	2.173494241e+01	1.150430769e+01	3.083896365e+02	2.544917319e+01	1.042974317e-01	4.392099174e+02	1.472004740e-02	5.143352605e+00	-5.403224947e+01	2.135931102e-02	9.244656806e-01	4.024567154e+01	2.741603191e+00	2.216478379e+01	7.128410384e+02	4.089386730e-01	8.412036201e-01	-3.616623234e+02	7.973169865e-05	6.071951118e-02	-2.626882414e+02	5.206764413e-04	2.840316117e+01	-2.027178848e+02	2.328869397e-01	6.026017303e+00	1.984864597e+02	7.014045993e-05	5.681034390e-01	-7.303294037e+02	1.908873756e+01	1.006389657e+01	3.568076104e+02	4.956157650e+00	3.719861937e-02	2.906447405e+02	1.292192041e+01	3.468698281e-02	5.398874893e+02	1.483431170e-02	1.985182212e-02	-4.247742027e+02	1.798108703e-05	2.056206299e+01	-7.612802383e+01	1.539606965e+01	3.151532972e-01	-4.217795535e+02	2.958147281e+01	5.394558923e+00	-2.110558581e+02	3.539035538e+01	8.067444717e+00	2.290178294e+01	7.908821710e-01	1.826537493e-01	6.954341363e+01	3.001256399e-02	2.280519325e+00	1.554546091e+01	7.878312447e+00	2.130535443e-01	-1.450740444e+02	6.446186809e-01	1.413125022e+01	2.110461326e-06	8.167431551e-01	2.445546300e-03	-2.730435160e+21	-3.414369024e+02

120	3.869992036e+02	3.432283441e-04	4.765815193e+00	-3.286764484e+02	2.676228343e-04	3.549392830e+01	8.661952970e+02	3.399232839e-04	5.153136362e-02	-6.461850065e+02	5.551363573e+00	3.903121522e-03	-8.388850433e+02	8.321400010e+00	3.207611855e+01	-2.760579525e+01	2.903445464e-02	1.044387726e+01	-7.548827637e+02	1.904082934e-01	2.717156852e-02	3.405054529e+01	5.761034702e-03	5.559050356e+00	6.254865828e+02	1.892598907e+01	5.247146131e+00	4.405915257e+02	9.231432037e-04	3.161121618e+00	-4.482618844e+02	4.214756004e-03	1.039658897e+01	1.402405197e+02	1.596041130e+00	4.611781443e-01	1.939576888e+02	6.725722571e-03	4.677810016e+01	-3.008697719e+02	9.627361449e-01	6.486550172e-02	-1.428700486e+02	2.501190619e+01	4.545599713e+00	5.340491405e+02	2.304504670e+01	2.022009239e-01	4.363017180e+02	7.331029869e-01	2.826143118e-02	-2.182735821e+02	5.336673674e-02	1.959991189e-01	-6.445228083e+02	1.212968201e-02	4.197063757e-01	2.911253586e+02	2.571067548e+01	6.960425773e-01	3.014055275e+01	8.580107313e+00	1.436110206e+00	-5.371813718e+02	3.292421052e-05	2.187243722e-02	-1.292141211e+02	4.809287584e+00	4.015787515e+01	-9.286317736e+02	2.489550086e-01	3.481205777e-01	5.349458239e+02	2.639893682e-02	9.627121904e+00	-1.213847457e+02	2.039067735e-02	2.441569543e+01	-5.301885734e+02	1.913103632e-05	1.283230812e+01	3.854056943e+02	1.569951242e-06	5.667294104e-01	-1.678205529e+01	1.835027120e-02	3.281826778e+01	1.301485759e+02	2.666626313e-02	7.498656990e-01	5.182850753e-01	2.986589210e-03	1.682538300e+00	-2.269619365e+11	-3.099552153e+02

121	7.771348730e+02	5.310281776e-04	5.822999381e-03	8.464580661e+02	6.592614529e-01	3.293179944e-01	3.461874871e+02	3.415780198e-03	1.073711736e+00	-2.149052638e+02	9.310124178e-03	6.313036551e-02	9.511656837e+02	8.934922653e-02	5.954648702e-03	9.767372783e+02	3.477466309e+01	2.359422612e+01	3.397753781e+02	2.796347473e-02	3.513724296e-01	-6.037335623e+02	1.055715191e-02	5.830679702e-01	7.361639029e+02	5.189604979e-03	8.435279858e+01	2.787037560e+00	1.732646365e+01	1.775855335e-01	1.926584673e+02	1.091542932e+00	2.935059102e-03	2.634156038e+02	2.116671561e-03	2.104724336e+01	2.691863781e+02	1.304477218e+01	1.959530230e-01	1.741882493e+02	1.829440718e+00	7.911011101e-01	4.567328656e+01	2.537712076e-02	6.890660104e+00	-9.228988045e+02	2.376274110e+01	2.613504939e-02	6.584267027e+02	1.242603626e-06	3.659899287e-03	-2.600181690e+02	3.395769889e-01	1.663313459e-03	3.088552976e+02	2.346946191e-06	6.178044153e+01	2.947043638e+00	2.418279039e-02	1.835570505e+00	-5.398784554e+02	5.372138833e-02	1.875765277e+01	-4.738182854e+01	7.847394194e+01	2.004515673e+01	6.446472013e+01	4.832036813e-01	9.901662406e-02	6.437338868e+02	8.013172402e-02	1.672682601e-01	1.149144876e+02	7.771674114e-02	1.253720527e-02	3.596634354e+02	3.378753538e+01	2.868911901e-01	-7.513600352e+01	7.879448645e-03	1.296092123e+01	3.915069772e+02	1.395604572e-01	4.146854720e-02	8.325328978e+02	1.058994418e-03	8.987679175e-03	7.260377707e+02	7.351717621e-04	5.427658492e-01	1.356744250e-04	8.528843839e-03	1.669464538e-01	-1.080654405e+19	-2.639413442e+02

122	-6.962564010e+02	1.078449172e-05	3.174653990e-03	-3.187185004e+02	5.897383784e-03	3.829706335e-02	-9.174024328e+02	4.275354179e+00	9.510458859e-02	-5.280097939e+02	3.438378187e-03	2.442487897e+01	6.784393418e+02	2.031594714e+01	2.159198147e-01	-2.360112546e+02	9.671906834e-05	2.195366154e+00	-8.052857396e+02	1.637575697e+01	2.070324289e+00	-9.138957624e+02	7.162266441e-02	2.220130796e+00	-4.187139744e+02	3.416759392e-01	2.206674510e+00	-8.410223213e+02	2.587266825e-04	2.275405184e+01	7.652579206e+02	6.511476589e+00	3.267797210e-02	5.534300905e+02	8.900520089e-06	1.026529879e-02	8.222596080e+02	3.462650558e+01	8.989465026e-02	-4.281689377e+02	7.629499229e-02	1.081288144e+01	2.396206433e+02	3.903719737e-01	3.435192894e-01	-5.705823429e+02	1.260793798e-03	9.053020755e-03	-5.073896345e+02	1.445180773e-06	2.285237597e+01	1.147912394e+02	1.550530728e-06	3.245723518e+01	-1.796765765e+02	2.889280611e+00	2.250919029e-03	-4.640718708e+02	5.594743716e-05	6.352031522e-03	7.190308469e+02	7.260977028e-06	4.855458787e+01	-1.850495458e+01	7.582841923e-02	4.001958132e+01	3.732472358e+02	2.636830396e-05	4.460747721e-02	-3.893095537e+02	5.321789769e+00	3.721353824e-03	5.586262719e+02	3.853445862e+01	6.412335695e+01	1.211789385e+02	2.387377793e+01	3.810269907e-03	-7.533697633e+02	3.074337186e-06	1.220307512e-02	9.438757837e+01	4.887271567e+00	4.777290713e-03	1.076039080e+02	4.998068738e+01	1.044133073e-01	-9.921676456e+02	3.766535631e+01	1.465379827e-02	1.145158490e-05	5.562867716e-01	2.747075600e-01	-2.048936915e+21	-2.347513373e+02

123	8.644430645e+01	7.459026111e-05	4.385699210e+01	2.290840249e+02	5.196678392e+00	7.118213423e-02	6.554966378e+02	2.794587269e-01	6.905873031e+00	-1.008038744e+02	1.804563149e+00	1.684393932e-03	-2.463085140e+02	3.251691653e-03	3.975572118e-02	3.493738884e+02	4.019768804e+01	3.322170429e-01	3.330431121e+02	9.778887077e-06	1.656714992e+00	3.312989983e+02	6.110144354e-04	4.709029573e+00	4.046805026e+02	1.138890258e+00	6.562396852e+00	3.959573553e+02	2.297311601e-01	1.272266864e+01	-1.319489868e+02	1.787099365e-01	4.904379773e+01	6.137011391e+02	5.817540105e-03	8.377389365e-02	-4.885708037e+02	4.912500104e-01	3.310738744e+00	4.668673835e+02	1.727417133e+01	6.841288976e-01	1.766742838e+02	1.057460737e-01	1.262807008e+01	-8.526564735e+02	3.214905918e+00	2.239152511e+00	4.854487926e+01	9.430262502e-01	4.504014133e-03	6.876892688e+02	3.793617118e-06	2.642714462e+01	-2.256835939e+02	1.397117277e-01	7.850602574e+00	-4.422904546e+02	2.881102698e+00	2.348276770e-02	2.412041705e+02	3.463063699e+00	6.035935711e+00	-5.307606123e+02	8.251959841e-04	2.960302630e+01	3.983436490e+02	1.159445755e+01	1.361694499e-01	7.970633285e+01	1.233825448e+01	1.191668902e-02	3.160877721e+02	2.370613015e+00	2.340301912e+00	-5.475193747e+02	1.750850777e+00	5.069863815e-02	-5.682678702e+01	4.182893875e-02	2.911058908e+01	2.468282497e+02	1.222211840e-03	1.703268253e+01	1.752511356e+02	1.740033238e+00	6.035538033e-03	2.004595751e+02	1.756035003e+00	2.157241993e-02	6.457261146e-01	1.772259342e+01	1.205368674e-03	-1.650763625e+11	-3.286321618e+02

124	-5.306005719e+02	6.168901333e-06	1.068336642e-03	3.103245721e+01	6.027937113e-05	6.356164248e-02	6.577241644e+02	1.623676465e-02	8.278538293e-02	2.185631650e+02	3.300360390e-05	9.856311831e+00	-9.155149272e+02	9.160739196e-02	4.926579330e+00	-4.677606004e+02	3.534837081e-04	1.499481649e+01	-3.036980948e+02	3.003852327e+00	6.977357166e-02	-8.954309482e+02	9.611943863e-01	9.084962679e-03	-5.494978727e+02	5.636234363e-05	3.623535787e+01	8.418628942e+02	5.649345779e-01	1.151651402e+01	-9.498693795e+02	8.020952702e-03	9.342216502e+01	-2.424435803e+02	7.662977520e-04	5.608687727e+01	-8.914746524e+02	4.149983326e-02	6.066988177e-02	-1.202584960e+02	1.320598100e-05	3.230336516e-03	5.534857522e+02	5.268395010e-02	7.251370309e-03	7.574319986e+02	1.745877514e-02	8.738183852e-02	-6.713542117e+02	1.992366490e+01	2.859869276e-03	-6.749937295e+01	9.799842908e-02	1.309046573e-03	9.849782398e+02	2.906148687e-05	7.072357355e-02	-6.932379213e+02	2.420252150e-05	4.865220045e+01	8.707021566e+02	1.950463246e-01	8.734012335e-02	6.088161404e+02	7.572283507e-04	1.436068061e-02	-2.253342758e+02	1.611937874e-01	3.901311183e+00	1.375338082e+02	6.574923240e-06	3.402379918e-02	-9.523518087e+02	9.419417462e-01	4.418843868e-03	-4.635144539e+02	8.382209665e-02	2.112275565e+00	3.923255204e+02	9.614669625e-05	3.100721953e-02	-8.081127644e+02	5.888685596e-06	7.752305202e+00	2.550660028e+02	5.253004674e-02	1.298485871e-03	1.968344571e+02	5.565144930e-04	2.159912668e-01	1.612122074e-01	1.672357664e-05	1.729638257e-01	-4.328136018e+12	-1.673523976e+02

125	-2.316520111e+02	7.450932541e-03	2.077615935e-02	8.535842731e+01	1.430204553e-02	1.242852169e-02	-3.317039296e+02	2.852162270e+00	1.305488185e-03	-8.911583015e+02	2.593753090e-01	5.864375891e-01	3.948603872e+02	8.788621870e-01	7.243496016e-02	7.454150195e+02	3.636515141e-05	9.669622322e-03	-7.910872248e+02	1.585819758e-03	5.433468380e-01	8.011879274e+02	1.556809029e-03	6.816862654e+01	-3.510166962e+02	9.396588026e-06	5.634306884e-01	-5.533637674e+02	6.017835955e-01	9.397795901e+01	9.737496992e+02	5.767172388e-02	3.494548135e-03	-7.527282687e+02	9.237394795e-04	1.374683496e-03	7.734732749e+02	3.635402272e+01	1.232832527e-02	3.321472349e+02	1.372656804e+00	6.402933246e-03	1.982815273e+02	8.044561205e-05	7.519546581e+00	7.299518122e+02	5.589323674e+00	5.134382180e+00	3.032388124e+02	2.453344888e-03	1.783713166e-01	9.922362894e+01	2.239547530e-03	4.589849277e-01	8.492837672e+02	1.929961972e-02	2.130649888e+01	9.820614935e+02	1.281656617e+01	1.610844072e-01	7.490517464e+02	3.131943188e+00	4.490220036e+00	-6.849201619e+02	1.674270431e-06	3.052665581e-02	2.400672053e+02	5.353988086e-03	3.395280696e-01	-7.672893627e+02	3.061573819e-04	1.404672293e-02	2.337388606e+02	2.455355029e+00	1.532840686e+01	-4.125464816e+02	4.195152771e-05	6.330360551e-02	2.804193940e+02	9.033994907e-01	3.578052107e+00	2.961289040e+02	3.628299725e-04	6.073119546e+00	-4.039512005e+02	1.519222973e+00	1.365127873e-02	-5.144666060e+02	2.135003274e-06	1.364331100e-01	1.043198760e-06	1.638813834e+00	1.005624921e-01	-2.028843080e+23	-2.089460546e+02

