walker	beta0	ell0	sigma_noise	sigma_gp	beta1	ell1	beta2	ell2	beta3	ell3	beta4	ell4	beta5	ell5	beta6	ell6	beta7	ell7	beta8	ell8	beta9	ell9	beta10	ell10	beta11	ell11	beta12	ell12	beta13	ell13	beta14	ell14	beta15	ell15	beta16	ell16	beta17	ell17	beta18	ell18	beta19	ell19	beta20	ell20	beta21	ell21	beta22	ell22	beta23	ell23	beta24	ell24	beta25	ell25	beta26	ell26	beta27	ell27	beta28	ell28	beta29	ell29	log_l	log_p

127	-9.606332109e-01	1.075905722e+00	1.165391459e+00	1.590831978e+00	4.302414323e-02	1.452603162e+00	1.407775604e+00	1.403687460e+00	7.201925089e-01	1.284572342e+00	1.235757395e-01	3.429560123e+00	-4.317247799e-02	2.346008638e+00	-4.126658504e-01	1.210823633e+00	3.561363024e-01	9.881292939e-01	4.551903465e-01	1.558911195e+00	9.721465010e-01	1.518907974e+00	-9.107139669e-02	1.172968386e+00	9.494608697e-02	1.181737959e+00	-4.725941902e-01	1.111235898e+00	6.211350826e-01	7.911398550e+00	-8.597978362e-02	2.478846855e+00	3.251343574e-01	1.685353496e+00	-1.443352058e-01	1.552461201e+00	1.496556252e+00	1.359274416e+00	-7.114551124e-01	2.571766615e+00	5.978442670e-01	2.584932656e+00	2.588142181e-02	1.203923228e+00	5.030080944e-01	2.406675306e+00	2.479757682e-01	1.276835185e+00	2.247134927e-01	1.531360453e+00	1.432770663e-01	1.291046128e+00	8.290909993e-01	1.305191072e+00	5.944639178e-02	1.314615973e+00	-2.566729959e-01	1.151533073e+00	3.359396097e-01	1.729197880e+00	-4.238845077e-01	1.590926819e+00	-6.589804354e+02	-1.003414139e+02

128	8.538670360e-01	1.178430328e+00	1.377381927e+00	2.395781831e+00	6.335509556e-01	2.329191713e+00	-1.248315819e+00	2.162096729e+00	-7.481180743e-01	1.896719244e+00	-1.164387866e+00	1.329648472e+00	1.706649168e+00	2.010424554e+00	-4.720428126e-01	1.719702298e+00	-5.467531649e-01	1.392500875e+00	3.829585032e-01	1.811894693e+00	3.462137720e-01	1.538527873e+00	-5.075254745e-01	6.152035800e-01	5.033711285e-01	1.724269968e+00	-1.357314018e+00	1.294566200e+00	1.891634814e-01	2.329937369e+00	-2.198911101e-01	1.238191657e+00	-3.861674788e-01	2.012771010e+00	-1.175751166e+00	1.347788297e+00	-2.524668761e-01	1.429869603e+00	1.066898098e-01	9.995629836e-01	1.215627961e-01	3.373543645e+00	-5.401459886e-01	9.550415389e-01	-1.777131067e-01	3.132574154e+00	1.698990773e-02	1.316395950e+00	-3.014087816e-01	1.958101579e+00	-3.511191730e-01	1.323290697e+00	4.671328680e-01	1.307533733e+00	7.954394979e-01	1.682651157e+00	2.515665271e-01	1.357701031e+00	-1.591914102e+00	5.689072662e-01	2.857078429e-01	1.607847098e+00	-7.451824140e+02	-9.887495453e+01

129	-1.753426508e-01	1.237765602e+00	1.061100392e+00	3.210249920e+00	-3.133366535e-02	2.979182416e+00	-2.546079699e-01	1.544420799e+00	9.457998687e-01	1.621858648e+00	4.742986734e-02	1.289123698e+00	5.698795895e-02	9.301759634e-01	-5.238611626e-01	1.789266352e+00	8.868150532e-01	1.153451658e+00	6.580390598e-01	1.560309146e+00	2.467968217e-01	2.293135703e+00	-2.132935497e-01	7.973222376e-01	1.130646026e-01	1.032288654e+00	-7.177372922e-01	1.693434508e+00	-7.604456863e-02	1.444342435e+00	-3.677392633e-01	1.397067733e+00	-1.785937668e+00	1.079208436e+00	2.306470929e-01	1.912481529e+00	1.532264836e+00	1.579553479e+00	9.370688770e-01	1.384821201e+00	-8.713352589e-01	1.860017377e+00	1.864708561e-01	1.261070792e+00	-1.050203783e+00	1.596008511e+00	-1.260473759e+00	1.220740291e+00	2.568885215e-01	1.992351155e+00	-1.715992494e-01	1.520629299e+00	1.996334969e-01	2.211600151e+00	5.187315365e-01	9.162086588e-01	4.689663328e-01	1.567031322e+00	3.400163448e-01	1.224345233e+00	3.560180996e-01	9.453044685e-01	-7.439747039e+02	-9.557454221e+01

130	-4.417159804e-01	1.130759067e+00	1.110312827e+00	3.117368471e+00	-2.186351646e+00	1.803449064e+00	3.279056478e-02	8.459125645e-01	-6.032659881e-01	1.257589662e+00	-6.208445027e-01	1.388481127e+00	1.061362539e+00	6.123573304e-01	-1.845944933e-01	1.131485446e+00	7.623358661e-01	2.965996334e+00	7.974022062e-01	1.135910031e+00	-9.504076747e-02	3.233566828e+00	-1.558156163e+00	1.286835727e+00	5.527297364e-01	5.287269131e-01	-3.711357910e-01	8.845492918e-01	-3.942405937e-02	1.776678386e+00	-4.714836963e-01	3.674400474e+00	-5.718942505e-01	1.217153636e+00	1.711496705e-01	8.537721020e-01	7.004505663e-01	1.742885942e+00	9.700437741e-01	3.059106851e+00	2.554787407e-01	1.125041094e+00	1.393627813e-01	8.509455400e-01	-2.953478336e-01	1.676539180e+00	-5.301612170e-01	2.059086483e+00	1.131824689e+00	7.429048587e-01	1.226137402e-01	2.115707678e+00	-1.137299252e+00	4.814981460e+00	1.023381145e+00	8.850916189e-01	5.322111644e-02	1.572248948e+00	1.159644658e+00	3.787239894e+00	-1.517890966e-01	3.517139515e+00	-7.477710540e+02	-1.018310912e+02

131	9.725137080e-01	1.207296738e+00	1.609114643e+00	8.315892137e-01	1.179788962e+00	1.764669109e+00	-1.829196953e+00	7.439680919e-01	-3.012751356e-01	1.203036129e+00	2.016966222e-01	1.943354391e+00	8.894495323e-01	5.525431737e+00	1.070297428e+00	1.833512939e+00	-4.175783054e-01	1.243847778e+00	-1.310949256e+00	1.184849761e+00	-4.988456616e-01	2.917475958e+00	9.324221722e-02	1.090655252e+00	-1.596532153e+00	7.429942255e-01	-4.108845092e-01	1.916627316e+00	1.952622152e-01	1.746050780e+00	1.216684832e+00	5.928911234e-01	4.230215779e-01	2.075418885e+00	-3.367179396e-01	2.910672782e+00	-6.758065899e-01	2.146560289e+00	2.662084776e-01	7.430893352e-01	1.110866508e-01	3.365856634e+00	4.832089031e-01	2.559648982e+00	2.261051997e-01	1.069414267e+00	5.024089913e-01	1.370719963e+00	8.704226109e-01	2.689301909e+00	-1.482678716e+00	1.555048181e+00	-1.551607264e+00	1.980306891e+00	7.377357741e-01	1.033663312e+00	7.049673195e-02	1.460070822e+00	1.255735687e+00	2.342212301e+00	7.892403294e-01	8.545251078e-01	-8.954000106e+02	-1.016608053e+02

132	4.895399154e-01	1.415739145e+00	1.744895575e+00	1.163654249e+00	8.238969988e-01	2.503809347e+00	-2.159776680e-01	8.929035826e-01	-6.398783390e-01	1.406235230e+00	-7.624388291e-01	2.279991521e+00	-2.338141785e-01	1.196319228e+00	-7.707025112e-01	1.574052219e+00	2.855257099e-01	1.370995530e+00	-7.753015475e-02	2.234105903e+00	1.715604522e+00	2.424531932e+00	-1.789953387e-01	1.472574660e+00	-1.076940514e+00	1.484674591e+00	-1.274950350e-01	1.333814461e+00	1.177558440e-01	1.020547355e+00	5.921364108e-01	1.452048515e+00	7.789041012e-01	2.359139937e+00	-1.501504720e+00	2.441875054e+00	6.399143422e-01	1.648244899e+00	-7.218441000e-02	1.170397313e+00	4.359382656e-01	1.669529489e+00	1.073955382e+00	9.740518667e-01	-1.055371563e+00	1.416017640e+00	1.071914751e+00	1.109956191e+00	6.666908760e-01	2.482434878e+00	-7.377966186e-01	1.536005038e+00	1.289999385e-01	1.399485012e+00	8.510018271e-01	2.227437295e+00	-5.193270860e-01	2.430862642e+00	3.164992982e-01	9.213811221e-01	2.668180368e-02	2.114693956e+00	-7.506607243e+02	-9.915968181e+01

133	8.554115694e-01	2.515990129e+00	1.639331341e+00	1.097252677e+00	-1.103059713e+00	9.723539997e-01	7.687772744e-01	1.245616271e+00	-6.923037530e-01	1.375310528e+00	-7.796096498e-02	1.283726728e+00	-5.322579016e-02	1.281516001e+00	-7.876129082e-01	1.175383643e+00	1.081108497e+00	1.524758197e+00	-1.930681488e-01	1.958029367e+00	7.050035760e-01	1.198533071e+00	-9.177862390e-01	1.303035729e+00	6.372308055e-01	9.402919902e-01	-6.141345112e-01	9.743913396e-01	-1.333103292e+00	1.522513635e+00	8.419508124e-01	2.070736381e+00	4.098192147e-01	2.422960964e+00	2.435170170e-02	1.282025888e+00	1.121283737e+00	7.520375204e-01	1.670001212e+00	6.422734787e-01	7.885143098e-01	1.089972374e+00	-6.820271755e-01	1.671443994e+00	-3.458378615e-01	1.271090188e+00	1.274118608e+00	1.403960809e+00	-8.826606564e-01	1.008916591e+00	4.718540183e-01	1.962162589e+00	1.221008509e+00	1.526491964e+00	1.293745102e+00	1.400903705e+00	-6.156245317e-01	1.681946190e+00	-2.147269199e-01	1.088577268e+00	4.768752186e-01	1.273344285e+00	-7.471175408e+02	-9.233697919e+01

134	8.856626862e-01	1.060443007e+00	1.794544486e+00	1.498028087e+00	3.520247425e-01	1.456779955e+00	2.520335067e-01	2.002590331e+00	-1.085098327e+00	1.931868486e+00	-2.109603620e-01	3.418896603e+00	-2.300619475e+00	1.147260154e+00	-5.295605690e-01	1.200872362e+00	-4.203860815e-01	1.764379075e+00	6.357769378e-01	1.511460010e+00	-1.472486913e+00	3.376124051e+00	-2.868907943e-01	1.130006938e+00	-2.286638380e+00	7.166225727e-01	1.687268080e+00	1.781732293e+00	1.326012056e-01	1.914187272e+00	5.684830771e-01	1.071334215e+00	5.172529413e-01	7.052973389e-01	6.492261533e-02	1.479747471e+00	-2.419549673e-02	1.379484295e+00	-7.647877622e-02	1.879994731e+00	-5.682522426e-01	1.532431511e+00	-1.183352616e+00	2.423595831e+00	-2.724577937e-01	1.810624356e+00	6.322719669e-01	1.959673035e+00	3.233152680e-01	1.865887744e+00	9.075450264e-03	1.645671501e+00	9.919556982e-01	1.965689984e+00	-1.217518395e-01	1.240587948e+00	2.772533596e-01	1.644440352e+00	1.691239167e+00	1.870426446e+00	3.704217411e-02	7.893901777e-01	-8.653273790e+02	-1.002303606e+02

135	7.740094736e-01	2.232999640e+00	1.482805156e+00	1.043093521e+00	2.288242906e-01	1.052364155e+00	7.797926682e-01	2.078064077e+00	1.427899064e-01	2.441968805e+00	-6.504634140e-01	2.753688593e+00	-3.379015038e-01	1.548896913e+00	-7.242883391e-01	1.225887547e+00	3.394099561e-01	1.217144128e+00	2.209517178e-01	1.769179936e+00	5.398431525e-01	1.671757529e+00	3.684228118e-01	1.321877637e+00	5.941192284e-01	1.009475844e+00	3.518719071e-01	1.170091097e+00	5.112094473e-01	1.503211271e+00	4.074304191e-01	2.659411087e+00	3.192917216e-01	3.256338444e+00	1.842769850e-01	3.394181826e+00	5.575270573e-01	1.658931249e+00	2.901300419e-01	9.490104348e-01	-4.817371376e-02	1.051405517e+00	1.389725204e-01	1.702140085e+00	-1.179331517e+00	1.508123583e+00	6.391965931e-02	5.793119619e-01	5.327274752e-02	1.217783548e+00	1.222099727e-02	1.105885889e+00	-6.394089588e-01	1.108172850e+00	-7.003089268e-01	1.323126603e+00	-1.276645913e+00	1.977923367e+00	3.301665159e-01	1.619055397e+00	7.467033398e-01	1.623029329e+00	-7.342334577e+02	-9.731358153e+01

136	7.889929137e-01	1.139537601e+00	1.480979399e+00	2.135280144e+00	-2.757790637e-01	1.841765721e+00	-2.027316223e-01	6.539418916e-01	9.949944586e-01	1.877424918e+00	-8.307707127e-01	1.581087030e+00	-2.758938014e-01	1.461293419e+00	-3.619221292e-01	8.926244858e-01	6.900847005e-01	1.743976303e+00	-1.505980452e-01	1.175238430e+00	4.246125028e-01	1.413735302e+00	-1.414076991e-02	2.156559170e+00	-7.569935914e-01	1.094323346e+00	4.529085083e-01	1.090055230e+00	4.039998201e-02	1.666507043e+00	-2.242263403e-01	1.528167807e+00	-4.466277369e-02	9.431075304e-01	2.895175448e-01	2.043544373e+00	3.928474941e-01	1.502527592e+00	6.995543689e-01	9.315447147e-01	-6.555001859e-01	1.415786293e+00	-4.407973406e-01	1.021612704e+00	-5.850952808e-02	1.358297373e+00	-4.498082853e-02	1.290221220e+00	-5.058343002e-01	2.880611222e+00	4.356913592e-01	1.471547361e+00	-7.663554114e-01	1.957044248e+00	7.577079851e-01	2.082734590e+00	5.106745834e-01	1.763452794e+00	-8.134843961e-02	2.247371441e+00	1.658502873e-01	1.161634825e+00	-7.229631311e+02	-9.465146634e+01

137	3.841482260e-01	2.283793323e+00	1.433861842e+00	1.824253271e+00	-2.297043401e-01	1.897434715e+00	-8.195993204e-01	1.852595157e+00	2.489505191e-01	1.452032856e+00	2.692938572e-01	7.847354731e-01	9.384435610e-01	1.104416484e+00	4.058804625e-01	5.787200704e-01	-1.741477585e-02	1.455113368e+00	-1.320561543e+00	1.309699505e+00	7.092256958e-01	1.668982206e+00	2.791375796e-01	2.015588726e+00	-1.654790807e+00	1.572787611e+00	-9.290423816e-01	1.501472114e+00	3.449412657e-01	1.102003867e+00	-3.659198357e-01	1.551920080e+00	-1.156543687e+00	1.719567842e+00	4.483499613e-01	2.296209086e+00	1.971126004e+00	2.125152412e+00	7.309233894e-01	1.383558110e+00	-1.301092784e+00	8.782255752e-01	2.825064617e-01	8.615920759e-01	6.991955256e-01	2.124326731e+00	-9.248316527e-01	1.190892216e+00	-3.837104414e-02	1.106770784e+00	-1.284160589e-02	3.632616058e+00	4.037206900e-02	3.416981679e+00	1.085934180e+00	1.749505363e+00	-2.635987476e-01	2.113146865e+00	9.230781602e-01	2.784231070e+00	3.511592834e-01	2.577874415e+00	-7.225695392e+02	-1.013456122e+02

138	1.875475772e+00	2.168285277e+00	1.457303741e+00	1.171595821e+00	5.073645416e-01	1.685391925e+00	-1.769343375e+00	1.394095805e+00	5.160537460e-01	1.526955688e+00	-2.078577918e+00	1.420062398e+00	-1.055624132e+00	8.718580592e-01	7.701573950e-01	5.966748668e-01	4.101165826e-01	9.552548797e-01	-1.212496512e+00	1.379151803e+00	3.773550948e-01	2.243721107e+00	4.233576590e-01	1.712685869e+00	-1.055358294e+00	1.015725656e+00	-8.126865644e-01	1.171856183e+00	2.758403944e-01	1.650953748e+00	-6.643160181e-01	1.148815779e+00	-6.121215397e-01	1.241319213e+00	-4.891288835e-01	1.006035751e+00	-2.918743994e-01	1.114976763e+00	-8.989067960e-01	6.413439945e-01	2.645317214e-02	2.121591649e+00	2.747145387e-01	2.591264357e+00	-8.953312205e-01	1.108688357e+00	3.623778303e-01	1.491112304e+00	6.746445261e-01	9.580829366e-01	1.000793193e+00	1.750571439e+00	-8.340048979e-01	2.207286919e+00	1.565547004e+00	1.472546075e+00	-1.216901913e-01	2.094209930e+00	6.195674102e-01	1.736375575e+00	-1.066408443e+00	3.366190138e+00	-8.809560468e+02	-9.624372245e+01

139	3.196993946e-01	8.015206430e-01	6.658864880e-01	2.813483081e+00	-1.526732912e-02	2.059424520e+00	-7.465600578e-01	3.274802686e-01	1.963654284e+00	1.558651604e+00	-1.201042489e+00	1.350924549e+00	-1.328567980e-01	1.679245943e+00	-6.272753727e-01	8.090902340e-01	1.668708535e+00	1.740514947e+00	-1.084606853e+00	9.009738586e-01	1.914557154e-01	2.237028192e+00	4.655267078e-01	1.606039970e+00	-2.010703923e-01	1.078796132e+00	1.020626490e+00	7.957357570e-01	7.184271337e-01	1.204161291e+00	8.349067855e-02	2.209260705e+00	7.134268759e-01	7.521919107e-01	5.390246837e-01	6.250212947e-01	8.601394781e-01	1.704759627e+00	3.736008474e-01	1.091943957e+00	-2.044980511e-01	8.328766011e-01	-5.496433271e-02	7.117555538e-01	1.347781256e-01	8.075984294e-01	-1.148465611e+00	9.447301630e-01	-1.244788417e-01	2.665706119e+00	2.968119883e-04	1.672254149e+00	-1.190493418e+00	2.542278116e+00	-1.942057810e-01	1.454444048e+00	2.215020750e-01	7.701012834e-01	1.228422443e-01	4.449046222e+00	7.569269351e-01	1.757129863e+00	-6.907495023e+02	-9.283125977e+01

140	3.037305039e-01	1.093580389e+00	1.201715622e+00	1.974985772e+00	4.933539358e-01	2.403086063e+00	-5.775335334e-01	1.990112290e+00	2.012321084e-01	2.920314557e+00	-7.277072454e-01	1.645376564e+00	3.759147250e-01	1.261052642e+00	-5.767404007e-01	1.479005194e+00	2.347540103e-01	1.523505114e+00	1.184135906e+00	1.945616441e+00	7.707410109e-01	2.453925874e+00	3.117547223e-02	1.495636164e+00	6.230337128e-01	1.049910232e+00	-1.448030719e-01	1.836177564e+00	-4.933509318e-01	1.759790190e+00	2.000503098e-02	1.330986598e+00	-1.184522129e+00	1.275749849e+00	5.280336948e-01	1.686259956e+00	4.640196788e-01	2.427361112e+00	3.641661965e-01	1.322199817e+00	-2.235925708e-01	1.553310511e+00	5.941674692e-02	9.797697439e-01	-1.239928273e+00	1.849900754e+00	-1.993142033e-02	1.379115421e+00	6.142664492e-01	1.843786829e+00	3.479798857e-01	1.343556478e+00	6.127142651e-01	1.788328199e+00	6.972178904e-02	1.045066960e+00	5.866215300e-01	1.074948907e+00	1.722530458e-01	1.184085622e+00	2.860870917e-01	1.020015046e+00	-6.836102703e+02	-9.683864573e+01

141	-1.385465132e+00	6.820646739e-01	1.210254510e+00	3.792544618e+00	-1.205223804e+00	1.305940772e+00	-1.201330424e+00	2.669046174e+00	9.684466916e-01	9.396158803e-01	2.835855267e+00	2.153485779e+00	1.319942845e-01	7.214145177e-01	7.161473416e-01	2.559819778e-01	-7.663350973e-01	2.959308074e+00	-1.341458896e+00	2.537650979e+00	1.041200375e+00	3.190295121e-01	8.797321110e-01	1.536067043e+00	-1.378300415e+00	3.325333718e+00	1.145728399e+00	7.884218430e-01	1.364907502e+00	3.376576343e+00	-3.283051951e+00	6.111611787e-01	-9.026461567e-01	2.372013279e+00	-8.187819690e-01	2.594253203e+00	1.000978453e+00	2.245987871e+00	4.497980562e-01	1.606657263e+00	1.091828201e+00	3.992566973e+00	8.512836084e-01	3.144510531e+00	1.611743861e-01	1.350597245e+00	7.081883976e-01	5.119231221e+00	-6.514535872e-01	1.207921240e+00	1.375558922e-01	3.439778373e+00	1.207432862e+00	1.064702981e+00	7.065900795e-01	6.725250214e-01	3.350966603e+00	2.809824535e+00	2.975731915e-01	2.189035809e+00	6.998369927e-01	1.384349395e+00	-7.119613492e+02	-1.118514639e+02

142	2.832136095e-01	1.937307845e+00	1.171005285e+00	1.291666104e+00	8.496732962e-02	2.074857236e+00	1.196726378e+00	1.742493194e+00	3.747980205e-01	2.055546713e+00	-2.280925852e+00	1.265470398e+00	4.302752491e-01	2.157618270e+00	1.979004215e-01	9.216135952e-01	-7.807561942e-01	1.056426949e+00	1.654406711e-01	1.356938572e+00	-5.340891941e-02	2.458865216e+00	2.430036516e-01	1.589583721e+00	3.435247979e-01	1.837572917e+00	-7.420564377e-01	1.192245071e+00	2.035944771e-01	8.560296394e-01	-1.464094066e+00	8.369915333e-01	-2.618627258e-01	1.709536554e+00	8.467194096e-01	1.174471762e+00	3.733607022e-01	2.603075573e+00	3.466974068e-01	1.144603768e+00	8.674873186e-01	3.894573032e+00	8.139721658e-02	9.491124846e-01	-1.508389365e-01	1.946135676e+00	-1.916109258e-01	1.023255277e+00	-5.529310162e-01	1.579185933e+00	-5.764370100e-01	1.226943846e+00	-5.476138415e-01	3.324509131e+00	-7.763012582e-02	1.369581530e+00	-8.105186995e-02	1.323424473e+00	-1.615357437e-01	1.517637028e+00	-1.965899713e-01	2.541149388e+00	-7.871889494e+02	-9.851644873e+01

143	4.530680787e-01	3.081243465e+00	1.909186039e-01	4.853361383e+00	1.380685852e+00	7.804761847e-01	2.383510696e+00	2.855189428e+00	-1.456383723e+00	1.644654601e+00	7.067842676e-01	1.028760085e+00	3.956237468e+00	1.416300893e+00	5.442696103e-01	1.735445165e+00	2.627618466e+00	2.447566067e+00	2.026836725e+00	7.372340194e-01	-7.617325233e-01	8.684735010e-01	-1.872843732e+00	6.448090564e-01	1.137807044e+00	6.186419292e-01	-1.451881511e+00	2.591628910e+00	9.414132630e-01	9.774235580e-02	-3.541345170e-01	1.616458987e+00	-2.779579091e-01	5.166189276e-01	1.586083311e+00	1.368273200e+00	-2.041000648e+00	1.181501825e-01	-3.498227368e-01	1.358282231e+00	3.409630575e+00	5.059694032e+00	-9.454431448e-01	6.084935693e-01	-3.687857012e+00	3.446704684e-01	-3.171938967e-01	9.129252508e-01	-2.555948966e+00	3.111781428e+00	-1.729043111e+00	1.511117868e+00	-1.695199649e+00	4.035251037e-01	5.329268850e-01	6.326382151e-01	1.747198512e-01	2.222552465e+00	-7.292455411e-01	1.897746755e+00	-2.814150688e+00	3.468738567e-01	2.918928496e+04	-1.055995547e+02

144	4.617379819e-01	2.475507610e+00	1.754456843e+00	5.327006275e-01	1.387239670e+00	8.404134279e-01	-6.122844039e-01	1.521977226e+00	1.316004704e-01	1.202108574e+00	-2.587662057e+00	1.467193321e+00	1.167143002e+00	1.810321896e+00	1.949601366e-01	1.850169294e+00	-1.403605679e+00	5.375000106e-01	-2.554356993e-01	1.492095212e+00	5.162485205e-01	6.943029917e-01	1.817737319e+00	7.737311235e-01	8.562603637e-01	9.098048957e-01	1.223959501e-01	1.029080982e+00	-1.218042590e+00	6.456731566e-01	-2.913949607e+00	4.209162168e+00	-1.096942509e+00	1.088348873e+00	3.257650762e+00	3.672893858e+00	-5.981760746e-01	1.074470677e+00	1.068741361e+00	9.571555193e-01	4.682290156e-01	1.262750861e+00	2.054956336e-01	1.318226907e+00	1.215794005e-01	3.035687246e+00	-4.513597588e-01	3.337227366e+00	-5.890502131e-01	1.065397256e+00	-1.521554446e-01	7.703115270e-01	-6.993834054e-01	6.838119500e-01	-3.650392768e-01	1.058334363e+00	1.879172900e+00	2.385848826e+00	-1.366521678e+00	7.108832214e-01	8.480033777e-01	6.253242661e-01	-1.134862985e+03	-9.623083189e+01

145	5.664645728e-01	3.327880680e+00	4.091707811e-01	2.436741066e+00	-6.183748587e-02	1.122863644e+00	6.288596127e-01	1.967544858e+00	2.684448073e+00	1.318575489e+00	6.330372913e-01	1.054863667e+00	1.038096388e+00	1.150652476e+00	2.122664790e-01	1.060286072e+00	-2.382315398e-01	1.770893964e+00	-2.002482750e+00	1.146153066e+00	-2.012344727e+00	1.772059336e+00	4.983690992e-01	1.314593028e+00	-1.156607036e-01	1.031818564e+00	-2.275748116e+00	1.343585061e+00	9.093107016e-01	1.201899654e+00	-3.454373047e-01	1.062028934e+00	-7.828715310e-01	6.950808242e-01	2.001671767e-01	4.182332993e+00	1.913970369e+00	7.743072816e-01	2.428981322e-01	1.802165827e+00	2.720170288e+00	1.668690981e+00	5.457677957e-03	5.856320192e-01	-9.252310455e-01	7.396600660e-01	-6.977241552e-01	6.679844377e-01	1.170513620e+00	7.973876750e-01	1.645967196e+00	1.101487027e+00	-1.873111036e-01	2.028812074e+00	4.443959123e-01	1.529331060e+00	-1.745934724e+00	1.127131628e+00	-2.867609534e-01	1.598458029e+00	2.891417335e-01	2.986169825e+00	-7.232745622e+02	-9.637152893e+01

146	5.038540370e-01	4.613028358e+00	1.769482825e+00	1.687513040e+00	-4.459375400e-01	1.160381340e+00	-9.987736368e-01	1.020665175e+00	1.125058139e+00	2.182667469e+00	3.572926370e-01	2.192667502e+00	5.281187741e-01	3.381586994e+00	-6.509784992e-01	1.345506661e+00	-6.397810179e-01	1.040230330e+00	7.256459301e-01	1.733705202e+00	4.485879519e-01	9.561725166e-01	5.275971179e-01	1.352975531e+00	2.059793369e-01	1.423416937e+00	8.780994141e-03	1.552737400e+00	-2.552261043e-01	1.218937468e+00	5.726117956e-01	1.637786662e+00	-6.577484010e-02	1.830331769e+00	1.010743377e+00	1.388174169e+00	-3.260953298e-01	1.928648407e+00	-2.502789081e-01	1.436147627e+00	1.092847669e+00	1.053994426e+00	-7.139201530e-01	7.865248123e-01	-8.032353632e-01	8.391100247e-01	-9.940116669e-01	1.236807519e+00	1.047055477e+00	2.675689475e+00	7.932848346e-03	1.806537465e+00	3.866000915e-01	1.091491975e+00	6.153465157e-01	9.811503503e-01	-1.849754712e-02	1.534194968e+00	1.397292792e-01	1.321560386e+00	-9.708713751e-01	1.460578026e+00	-7.404995242e+02	-9.689765942e+01

147	-7.715920194e-01	1.399593239e+00	1.411130055e+00	1.713497798e+00	1.228557885e+00	2.521456250e+00	-2.922558829e-01	1.201219456e+00	-8.737549137e-01	1.289605314e+00	7.783295859e-01	2.171013972e+00	5.502968320e-01	1.303101327e+00	4.761326981e-01	2.157013359e+00	2.687219298e-01	1.361564419e+00	1.217026342e+00	2.685565297e+00	3.242036934e-01	8.104021589e-01	1.216244686e+00	9.726555731e-01	9.657531400e-01	1.136917642e+00	1.450384976e-01	3.000194413e+00	-4.638668720e-01	2.503271633e+00	-7.464354915e-01	1.179745574e+00	-4.515525797e-01	9.183784021e-01	8.479079326e-01	1.058919560e+00	-1.107794134e+00	2.022881654e+00	-3.735561464e-01	1.272098476e+00	3.176199834e-01	9.349906636e-01	-5.372458647e-01	1.105920861e+00	3.011334118e-01	3.318540911e+00	-2.899990677e-01	1.862362475e+00	1.089085885e+00	1.262266100e+00	1.121979872e+00	1.816404907e+00	-2.594972000e-01	2.647605070e+00	-7.876237241e-01	8.656581575e-01	-5.196427333e-01	1.451440355e+00	4.981516979e-01	1.554135648e+00	-4.235704054e-02	5.383259438e-01	-7.057682047e+02	-9.730886686e+01

148	9.297066755e-01	8.303036230e-01	6.267332452e-01	4.322302178e+00	-1.906298213e-01	1.182032865e+00	2.573132452e-01	4.946629840e-01	7.758822343e-01	2.961281797e+00	-6.242027284e-01	1.459221688e+00	5.974224513e-01	1.033664277e+00	-6.300688350e-01	1.409636125e+00	7.637013705e-01	2.134323126e+00	-5.927759761e-01	1.617521777e+00	-3.960581200e-01	4.005954409e+00	-1.346809715e+00	5.370268387e-01	-5.904811822e-01	7.753275925e-01	2.016262271e+00	9.772293914e-01	-1.666841309e-01	4.971478468e-01	1.180117723e+00	2.022751797e+00	7.187566431e-01	9.987657791e-01	1.183889673e-02	8.359335213e-01	1.024508037e+00	1.822907892e+00	-1.054619046e+00	1.895715594e+00	1.334830062e+00	1.336782513e+00	2.742963120e-01	1.202753242e+00	-2.897426914e-01	1.508894546e+00	1.655711467e-01	2.148570355e+00	-1.089452789e-01	1.403115021e+00	-7.925233293e-01	1.269732041e+00	-3.900158976e-01	2.545307247e+00	1.009680792e+00	1.342813708e+00	-5.802464635e-01	9.894576792e-01	6.347306664e-01	1.762883677e+00	-4.613295228e-01	1.107010584e+00	-7.548892896e+02	-9.498147954e+01

149	1.240879463e-02	1.852178987e+00	2.309604844e-01	3.292870966e+00	-2.263391837e-01	1.286093479e+00	5.541542538e-01	4.513605237e+00	-4.104242993e-01	1.815169021e-01	1.331893050e+00	3.297892969e-01	7.851502287e-01	1.743477412e+00	1.378566942e+00	1.090155770e+00	-5.120736825e+00	2.141740446e+00	-1.320910432e+00	3.569682757e-01	2.222828817e+00	4.024684572e+00	4.751923330e-02	1.046681647e+00	1.126358632e-01	2.354171454e+00	-2.166035068e+00	2.094074490e+00	-9.212388614e-01	1.860850942e-01	-5.073480220e-01	2.066886482e+00	-1.562239453e+00	2.852845005e+00	-7.156561262e-02	6.500456299e-01	-8.764593975e-01	1.402811594e+00	1.971443208e+00	2.435451373e-01	4.355436973e-01	1.988484406e-01	-9.945164709e-01	1.528553830e+00	-2.419968290e+00	7.082666380e-01	-2.260030302e+00	2.158272065e+00	3.422437487e-01	1.042464232e+00	-1.361831080e+00	1.385413393e+00	1.700575087e-01	6.412447404e-01	3.930618815e+00	1.263336370e+00	7.390147691e-01	1.344120123e+00	2.066745836e+00	7.874019634e-01	-1.847500098e+00	3.932690205e-01	9.250374218e+04	-1.022347816e+02

